County,Value
Alameda,"92,574"
Alpine,"64,688"
Amador,"61,198"
Butte,"48,443"
Calaveras,"58,151"
Colusa,"56,704"
Contra Costa,"93,712"
Del Norte,"45,258"
El Dorado,"80,582"
Fresno,"51,261"
Glenn,"47,395"
Humboldt,"45,528"
Imperial,"45,834"
Inyo,"52,874"
Kern,"52,479"
Kings,"53,865"
Lake,"42,475"
Lassen,"56,362"
Los Angeles,"64,251"
Madera,"52,884"
Marin,"110,217"
Mariposa,"51,199"
Mendocino,"49,233"
Merced,"50,129"
Modoc,"45,149"
Mono,"63,018"
Monterey,"66,676"
Napa,"84,753"
Nevada,"63,240"
Orange,"85,398"
Placer,"84,357"
Plumas,"53,270"
Riverside,"63,948"
Sacramento,"63,902"
San Benito,"81,977"
San Bernardino,"60,164"
San Diego,"74,855"
San Francisco,"104,552"
San Joaquin,"61,145"
San Luis Obispo,"70,699"
San Mateo,"113,776"
Santa Barbara,"71,657"
Santa Clara,"116,178"
Santa Cruz,"78,041"
Shasta,"50,905"
Sierra,"48,125"
Siskiyou,"44,200"
Solano,"77,609"
Sonoma,"76,753"
Stanislaus,"57,387"
Sutter,"56,955"
Tehama,"42,899"
Trinity,"38,497"
Tulare,"47,518"
Tuolumne,"56,493"
Ventura,"84,017"
Yolo,"65,923"
Yuba,"52,624"